t,vEgo,aEgo,roll,targetLateralAcceleration,steerCommand
25.39999999,1,0,0,1,
25.49999999,1,0,0,1,
25.59999999,1,0,0,1,
25.69999999,1,0,0,1,
25.79999999,1,0,0,1,
25.89999999,1,0,0,1,
25.99999999,1,0,0,1,
26.09999999,1,0,0,1,
26.19999999,1,0,0,1,
26.29999999,1,0,0,1,
26.39999999,1,0,0,1,
26.49999999,1,0,0,1,
26.59999999,1,0,0,1,
26.69999999,1,0,0,1,
26.79999999,1,0,0,1,
26.89999999,1,0,0,1,
26.99999999,1,0,0,1,
27.09999999,1,0,0,1,
27.19999999,1,0,0,1,
27.29999999,1,0,0,1,
27.39999999,1,0,0,1,
27.49999999,1,0,0,1,
27.59999999,1,0,0,1,
27.69999999,1,0,0,1,
27.79999999,1,0,0,1,
27.89999999,1,0,0,1,
27.99999999,1,0,0,1,
28.09999999,1,0,0,1,
28.19999999,1,0,0,1,
28.29999999,1,0,0,1,
28.39999999,1,0,0,1,
28.49999999,1,0,0,1,
28.59999999,1,0,0,1,
28.69999999,1,0,0,1,
28.79999999,1,0,0,1,
28.89999999,1,0,0,1,
28.99999999,1,0,0,1,
29.09999999,1,0,0,1,
29.19999999,1,0,0,1,
29.29999999,1,0,0,1,
29.39999999,1,0,0,1,
29.49999999,1,0,0,1,
29.59999999,1,0,0,1,
29.69999999,1,0,0,1,
29.79999999,1,0,0,1,
29.89999999,1,0,0,1,
29.99999999,1,0,0,1,
30.09999999,1,0,0,1,
30.19999999,1,0,0,1,
30.29999999,1,0,0,1,
30.39999999,1,0,0,1,
30.49999999,1,0,0,1,
30.59999999,1,0,0,1,
30.69999999,1,0,0,1,
30.79999999,1,0,0,1,
30.89999999,1,0,0,1,
30.99999999,1,0,0,1,
31.09999999,1,0,0,1,
31.19999999,1,0,0,1,
31.29999999,1,0,0,1,
31.39999999,1,0,0,1,
31.49999999,1,0,0,1,
31.59999999,1,0,0,1,
31.69999999,1,0,0,1,
31.79999999,1,0,0,1,
31.89999999,1,0,0,1,
31.99999999,1,0,0,1,
32.09999999,1,0,0,1,
32.19999999,1,0,0,1,
32.29999999,1,0,0,1,
32.39999999,1,0,0,1,
32.49999999,1,0,0,1,
32.59999999,1,0,0,1,
32.69999999,1,0,0,1,
32.79999999,1,0,0,1,
32.89999999,1,0,0,1,
32.99999999,1,0,0,1,
33.09999999,1,0,0,1,
33.19999999,1,0,0,1,
33.29999999,1,0,0,1,
33.39999999,1,0,0,1,
33.49999999,1,0,0,1,
33.59999999,1,0,0,1,
33.69999999,1,0,0,1,
33.79999999,1,0,0,1,
33.89999999,1,0,0,1,
33.99999999,1,0,0,1,
34.09999999,1,0,0,1,
34.19999999,1,0,0,1,
34.29999999,1,0,0,1,
34.39999999,1,0,0,1,
34.49999999,1,0,0,1,
34.59999999,1,0,0,1,
34.69999999,1,0,0,1,
34.79999999,1,0,0,1,
34.89999999,1,0,0,1,
34.99999999,1,0,0,1,
35.09999999,1,0,0,1,
35.19999999,1,0,0,1,
35.29999999,1,0,0,1,
35.39999999,1,0,0,1,
35.49999999,1,0,0,1,
35.59999999,1,0,0,1,
35.69999999,1,0,0,1,
35.79999999,1,0,0,1,
35.89999999,1,0,0,1,
35.99999999,1,0,0,1,
36.09999999,1,0,0,1,
36.19999999,1,0,0,1,
36.29999999,1,0,0,1,
36.39999999,1,0,0,1,
36.49999999,1,0,0,1,
36.59999999,1,0,0,1,
36.69999999,1,0,0,1,
36.79999999,1,0,0,1,
36.89999999,1,0,0,1,
36.99999999,1,0,0,1,
37.09999999,1,0,0,1,
37.19999999,1,0,0,1,
37.29999999,1,0,0,1,
37.39999999,1,0,0,1,
37.49999999,1,0,0,1,
37.59999999,1,0,0,1,
37.69999999,1,0,0,1,
37.79999999,1,0,0,1,
37.89999999,1,0,0,1,
37.99999999,1,0,0,1,
38.09999999,1,0,0,1,
38.19999999,1,0,0,1,
38.29999999,1,0,0,1,
38.39999999,1,0,0,1,
38.49999999,1,0,0,1,
38.59999999,1,0,0,1,
38.69999999,1,0,0,1,
38.79999999,1,0,0,1,
38.89999999,1,0,0,1,
38.99999999,1,0,0,1,
39.09999999,1,0,0,1,
39.19999999,1,0,0,1,
39.29999999,1,0,0,1,
39.39999999,1,0,0,1,
39.49999999,1,0,0,1,
39.59999999,1,0,0,1,
39.69999999,1,0,0,1,
39.79999999,1,0,0,1,
39.89999999,1,0,0,1,
39.99999999,1,0,0,0,
40.09999999,1,0,0,0,
40.19999999,1,0,0,0,
40.29999999,1,0,0,0,
40.39999999,1,0,0,0,
40.49999999,1,0,0,0,
40.59999999,1,0,0,0,
40.69999999,1,0,0,0,
40.79999999,1,0,0,0,
40.89999999,1,0,0,0,
40.99999999,1,0,0,0,
41.09999999,1,0,0,0,
41.19999999,1,0,0,0,
41.29999999,1,0,0,0,
41.39999999,1,0,0,0,
41.49999999,1,0,0,0,
41.59999999,1,0,0,0,
41.69999999,1,0,0,0,
41.79999999,1,0,0,0,
41.89999999,1,0,0,0,
41.99999999,1,0,0,0,
42.09999999,1,0,0,0,
42.19999999,1,0,0,0,
42.29999999,1,0,0,0,
42.39999999,1,0,0,0,
42.49999999,1,0,0,0,
42.59999999,1,0,0,0,
42.69999999,1,0,0,0,
42.79999999,1,0,0,0,
42.89999999,1,0,0,0,
42.99999999,1,0,0,0,
43.09999999,1,0,0,0,
43.19999999,1,0,0,0,
43.29999999,1,0,0,0,
43.39999999,1,0,0,0,
43.49999999,1,0,0,0,
43.59999999,1,0,0,0,
43.69999999,1,0,0,0,
43.79999999,1,0,0,0,
43.89999999,1,0,0,0,
43.99999999,1,0,0,0,
44.09999999,1,0,0,0,
44.19999999,1,0,0,0,
44.29999999,1,0,0,0,
44.39999999,1,0,0,0,
44.49999999,1,0,0,0,
44.59999999,1,0,0,0,
44.69999999,1,0,0,0,
44.79999999,1,0,0,0,
44.89999999,1,0,0,0,
44.99999999,1,0,0,0,
45.09999999,1,0,0,0,
45.19999999,1,0,0,0,
45.29999999,1,0,0,0,
45.39999999,1,0,0,0,
45.49999999,1,0,0,0,
45.59999999,1,0,0,0,
45.69999999,1,0,0,0,
45.79999999,1,0,0,0,
45.89999999,1,0,0,0,
45.99999999,1,0,0,0,
46.09999999,1,0,0,0,
46.19999999,1,0,0,0,
46.29999999,1,0,0,0,
46.39999999,1,0,0,0,
46.49999999,1,0,0,0,
46.59999999,1,0,0,0,
46.69999999,1,0,0,0,
46.79999999,1,0,0,0,
46.89999999,1,0,0,0,
46.99999999,1,0,0,0,
47.09999999,1,0,0,0,
47.19999999,1,0,0,0,
47.29999999,1,0,0,0,
47.39999999,1,0,0,0,
47.49999999,1,0,0,0,
47.59999999,1,0,0,0,
47.69999999,1,0,0,0,
47.79999999,1,0,0,0,
47.89999999,1,0,0,0,
47.99999999,1,0,0,0,
48.09999999,1,0,0,0,
48.19999999,1,0,0,0,
48.29999999,1,0,0,0,
48.39999999,1,0,0,0,
48.49999999,1,0,0,0,
48.59999999,1,0,0,0,
48.69999999,1,0,0,0,
48.79999999,1,0,0,0,
48.89999999,1,0,0,0,
48.99999999,1,0,0,0,
49.09999999,1,0,0,0,
49.19999999,1,0,0,0,
49.29999999,1,0,0,0,
49.39999999,1,0,0,0,
49.49999999,1,0,0,0,
49.59999999,1,0,0,0,
49.69999999,1,0,0,0,
49.79999999,1,0,0,0,
49.89999999,1,0,0,0,
49.99999999,1,0,0,0,
50.09999999,1,0,0,0,
50.19999999,1,0,0,0,
50.29999999,1,0,0,0,
50.39999999,1,0,0,0,
50.49999999,1,0,0,0,
50.59999999,1,0,0,0,
50.69999999,1,0,0,0,
50.79999999,1,0,0,0,
50.89999999,1,0,0,0,
50.99999999,1,0,0,0,
51.09999999,1,0,0,0,
51.19999999,1,0,0,0,
51.29999999,1,0,0,0,
51.39999999,1,0,0,0,
51.49999999,1,0,0,0,
51.59999999,1,0,0,0,
51.69999999,1,0,0,0,
51.79999999,1,0,0,0,
51.89999999,1,0,0,0,
51.99999999,1,0,0,0,
52.09999999,1,0,0,0,
52.19999999,1,0,0,0,
52.29999999,1,0,0,0,
52.39999999,1,0,0,0,
52.49999999,1,0,0,0,
52.59999999,1,0,0,0,
52.69999999,1,0,0,0,
52.79999999,1,0,0,0,
52.89999999,1,0,0,0,
52.99999999,1,0,0,0,
53.09999999,1,0,0,0,
53.19999999,1,0,0,0,
53.29999999,1,0,0,0,
53.39999999,1,0,0,0,
53.49999999,1,0,0,0,
53.59999999,1,0,0,0,
53.69999999,1,0,0,0,
53.79999999,1,0,0,0,
53.89999999,1,0,0,0,
53.99999999,1,0,0,0,
54.09999999,1,0,0,0,
54.19999999,1,0,0,0,
54.29999999,1,0,0,0,
54.39999999,1,0,0,0,
54.49999999,1,0,0,0,
54.59999999,1,0,0,0,
54.69999999,1,0,0,0,
54.79999999,1,0,0,0,
54.89999999,1,0,0,0,
54.99999999,1,0,0,0,
55.09999999,1,0,0,0,
55.19999999,1,0,0,0,
55.29999999,1,0,0,0,
55.39999999,1,0,0,0,
55.49999999,1,0,0,0,
55.59999999,1,0,0,0,
55.69999999,1,0,0,0,
55.79999999,1,0,0,0,
55.89999999,1,0,0,0,
55.99999999,1,0,0,0,
56.09999999,1,0,0,0,
56.19999999,1,0,0,0,
56.29999999,1,0,0,0,
56.39999999,1,0,0,0,
56.49999999,1,0,0,0,
56.59999999,1,0,0,0,
56.69999999,1,0,0,0,
56.79999999,1,0,0,0,
56.89999999,1,0,0,0,
56.99999999,1,0,0,0,
57.09999999,1,0,0,0,
57.19999999,1,0,0,0,
57.29999999,1,0,0,0,
57.39999999,1,0,0,0,
57.49999999,1,0,0,0,
57.59999999,1,0,0,0,
57.69999999,1,0,0,0,
57.79999999,1,0,0,0,
57.89999999,1,0,0,0,
57.99999999,1,0,0,0,
58.09999999,1,0,0,0,
58.19999999,1,0,0,0,
58.29999999,1,0,0,0,
58.39999999,1,0,0,0,
58.49999999,1,0,0,0,
58.59999999,1,0,0,0,
58.69999999,1,0,0,0,
58.79999999,1,0,0,0,
58.89999999,1,0,0,0,
58.99999999,1,0,0,0,
59.09999999,1,0,0,0,
59.19999999,1,0,0,0,
59.29999999,1,0,0,0,
59.39999999,1,0,0,0,
59.49999999,1,0,0,0,
59.59999999,1,0,0,0,
59.69999999,1,0,0,0,
59.79999999,1,0,0,0,
59.89999999,1,0,0,0,
59.99999999,1,0,0,0,
60.09999999,1,0,0,0,
60.19999999,1,0,0,0,
60.29999999,1,0,0,0,
60.39999999,1,0,0,0,
60.49999999,1,0,0,0,
60.59999999,1,0,0,0,
60.69999999,1,0,0,0,
60.79999999,1,0,0,0,
60.89999999,1,0,0,0,
60.99999999,1,0,0,0,
61.09999999,1,0,0,0,
61.19999999,1,0,0,0,
61.29999999,1,0,0,0,
61.39999999,1,0,0,0,
61.49999999,1,0,0,0,
61.59999999,1,0,0,0,
61.69999999,1,0,0,0,
61.79999999,1,0,0,0,
61.89999999,1,0,0,0,
61.99999999,1,0,0,0,
62.09999999,1,0,0,0,
62.19999999,1,0,0,0,
62.29999999,1,0,0,0,
62.39999999,1,0,0,0,
62.49999999,1,0,0,0,
62.59999999,1,0,0,0,
62.69999999,1,0,0,0,
62.79999999,1,0,0,0,
62.89999999,1,0,0,0,
62.99999999,1,0,0,0,
63.09999999,1,0,0,0,
63.19999999,1,0,0,0,
63.29999999,1,0,0,0,
63.39999999,1,0,0,0,
63.49999999,1,0,0,0,
63.59999999,1,0,0,0,
63.69999999,1,0,0,0,
63.79999999,1,0,0,0,
63.89999999,1,0,0,0,
63.99999999,1,0,0,0,
64.09999999,1,0,0,0,
64.19999999,1,0,0,0,
64.29999999,1,0,0,0,
64.39999999,1,0,0,0,
64.49999999,1,0,0,0,
64.59999999,1,0,0,0,
64.69999999,1,0,0,0,
64.79999999,1,0,0,0,
64.89999999,1,0,0,0,
64.99999999,1,0,0,0,
65.09999999,1,0,0,0,
65.19999999,1,0,0,0,
65.29999999,1,0,0,0,
65.39999999,1,0,0,0,
65.49999999,1,0,0,0,
65.59999999,1,0,0,0,
65.69999999,1,0,0,0,
65.79999999,1,0,0,0,
65.89999999,1,0,0,0,
65.99999999,1,0,0,0,
66.09999999,1,0,0,0,
66.19999999,1,0,0,0,
66.29999999,1,0,0,0,
66.39999999,1,0,0,0,
66.49999999,1,0,0,0,
66.59999999,1,0,0,0,
66.69999999,1,0,0,0,
66.79999999,1,0,0,0,
66.89999999,1,0,0,0,
66.99999999,1,0,0,0,
67.09999999,1,0,0,0,
67.19999999,1,0,0,0,
67.29999999,1,0,0,0,
67.39999999,1,0,0,0,
67.49999999,1,0,0,0,
67.59999999,1,0,0,0,
67.69999999,1,0,0,0,
67.79999999,1,0,0,0,
67.89999999,1,0,0,0,
67.99999999,1,0,0,0,
68.09999999,1,0,0,0,
68.19999999,1,0,0,0,
68.29999999,1,0,0,0,
68.39999999,1,0,0,0,
68.49999999,1,0,0,0,
68.59999999,1,0,0,0,
68.69999999,1,0,0,0,
68.79999999,1,0,0,0,
68.89999999,1,0,0,0,
68.99999999,1,0,0,0,
69.09999999,1,0,0,0,
69.19999999,1,0,0,0,
69.29999999,1,0,0,0,
69.39999999,1,0,0,0,
69.49999999,1,0,0,0,
69.59999999,1,0,0,0,
69.69999999,1,0,0,0,
69.79999999,1,0,0,0,
69.89999999,1,0,0,0,
69.99999999,1,0,0,0,
70.09999999,1,0,0,0,
70.19999999,1,0,0,0,
70.29999999,1,0,0,0,
70.39999999,1,0,0,0,
70.49999999,1,0,0,0,
70.59999999,1,0,0,0,
70.69999999,1,0,0,0,
70.79999999,1,0,0,0,
70.89999999,1,0,0,0,
70.99999999,1,0,0,0,
71.09999999,1,0,0,0,
71.19999999,1,0,0,0,
71.29999999,1,0,0,0,
71.39999999,1,0,0,0,
71.49999999,1,0,0,0,
71.59999999,1,0,0,0,
71.69999999,1,0,0,0,
71.79999999,1,0,0,0,
71.89999999,1,0,0,0,
71.99999999,1,0,0,0,
72.09999999,1,0,0,0,
72.19999999,1,0,0,0,
72.29999999,1,0,0,0,
72.39999999,1,0,0,0,
72.49999999,1,0,0,0,
72.59999999,1,0,0,0,
72.69999999,1,0,0,0,
72.79999999,1,0,0,0,
72.89999999,1,0,0,0,
72.99999999,1,0,0,0,
73.09999999,1,0,0,0,
73.19999999,1,0,0,0,
73.29999999,1,0,0,0,
73.39999999,1,0,0,0,
73.49999999,1,0,0,0,
73.59999999,1,0,0,0,
73.69999999,1,0,0,0,
73.79999999,1,0,0,0,
73.89999999,1,0,0,0,
73.99999999,1,0,0,0,
74.09999999,1,0,0,0,
74.19999999,1,0,0,0,
74.29999999,1,0,0,0,
74.39999999,1,0,0,0,
74.49999999,1,0,0,0,
74.59999999,1,0,0,0,
74.69999999,1,0,0,0,
74.79999999,1,0,0,0,
74.89999999,1,0,0,0,
74.99999999,1,0,0,0,
75.09999999,1,0,0,0,
75.19999999,1,0,0,0,
75.29999999,1,0,0,0,
75.39999999,1,0,0,0,
75.49999999,1,0,0,0,
75.59999999,1,0,0,0,
75.69999999,1,0,0,0,
75.79999999,1,0,0,0,
75.89999999,1,0,0,0,
75.99999999,1,0,0,0,
76.09999999,1,0,0,0,
76.19999999,1,0,0,0,
76.29999999,1,0,0,0,
76.39999999,1,0,0,0,
76.49999999,1,0,0,0,
76.59999999,1,0,0,0,
76.69999999,1,0,0,0,
76.79999999,1,0,0,0,
76.89999999,1,0,0,0,
76.99999999,1,0,0,0,
77.09999999,1,0,0,0,
77.19999999,1,0,0,0,
77.29999999,1,0,0,0,
77.39999999,1,0,0,0,
77.49999999,1,0,0,0,
77.59999999,1,0,0,0,
77.69999999,1,0,0,0,
77.79999999,1,0,0,0,
77.89999999,1,0,0,0,
77.99999999,1,0,0,0,
78.09999999,1,0,0,0,
78.19999999,1,0,0,0,
78.29999999,1,0,0,0,
78.39999999,1,0,0,0,
78.49999999,1,0,0,0,
78.59999999,1,0,0,0,
78.69999999,1,0,0,0,
78.79999999,1,0,0,0,
78.89999999,1,0,0,0,
78.99999999,1,0,0,0,
79.09999999,1,0,0,0,
79.19999999,1,0,0,0,
79.29999999,1,0,0,0,
79.39999999,1,0,0,0,
79.49999999,1,0,0,0,
79.59999999,1,0,0,0,
79.69999999,1,0,0,0,
79.79999999,1,0,0,0,
79.89999999,1,0,0,0,
79.99999999,1,0,0,1,
80.09999999,1,0,0,1,
80.19999999,1,0,0,1,
80.29999999,1,0,0,1,
80.39999999,1,0,0,1,
80.49999999,1,0,0,1,
80.59999999,1,0,0,1,
80.69999999,1,0,0,1,
80.79999999,1,0,0,1,
80.89999999,1,0,0,1,
80.99999999,1,0,0,1,
81.09999999,1,0,0,1,
81.19999999,1,0,0,1,
81.29999999,1,0,0,1,
81.39999999,1,0,0,1,
81.49999999,1,0,0,1,
81.59999999,1,0,0,1,
81.69999999,1,0,0,1,
81.79999999,1,0,0,1,
81.89999999,1,0,0,1,
81.99999999,1,0,0,1,
82.09999999,1,0,0,1,
82.19999999,1,0,0,1,
82.29999999,1,0,0,1,
82.39999999,1,0,0,1,
82.49999999,1,0,0,1,
82.59999999,1,0,0,1,
82.69999999,1,0,0,1,
82.79999999,1,0,0,1,
82.89999999,1,0,0,1,
82.99999999,1,0,0,1,
83.09999999,1,0,0,1,
83.19999999,1,0,0,1,
83.29999999,1,0,0,1,
83.39999999,1,0,0,1,
83.49999999,1,0,0,1,
83.59999999,1,0,0,1,
83.69999999,1,0,0,1,
83.79999999,1,0,0,1,
83.89999999,1,0,0,1,
83.99999999,1,0,0,1,
84.09999999,1,0,0,1,
84.19999999,1,0,0,1,
84.29999999,1,0,0,1,
84.39999999,1,0,0,1,
84.49999999,1,0,0,1,
84.59999999,1,0,0,1,
84.69999999,1,0,0,1,
84.79999999,1,0,0,1,
84.89999999,1,0,0,1,
84.99999999,1,0,0,1,
85.09999999,1,0,0,1,
85.19999999,1,0,0,1,
85.29999999,1,0,0,1,
85.39999999,1,0,0,1,
85.49999999,1,0,0,1,
85.59999999,1,0,0,1,
85.69999999,1,0,0,1,
85.79999999,1,0,0,1,
85.89999999,1,0,0,1,
85.99999999,1,0,0,1,
86.09999999,1,0,0,1,
86.19999999,1,0,0,1,
86.29999999,1,0,0,1,
86.39999999,1,0,0,1,
86.49999999,1,0,0,1,
86.59999999,1,0,0,1,
86.69999999,1,0,0,1,
86.79999999,1,0,0,1,
86.89999999,1,0,0,1,
86.99999999,1,0,0,1,
87.09999999,1,0,0,1,
87.19999999,1,0,0,1,
87.29999999,1,0,0,1,
87.39999999,1,0,0,1,
87.49999999,1,0,0,1,
87.59999999,1,0,0,1,
87.69999999,1,0,0,1,
87.79999999,1,0,0,1,
87.89999999,1,0,0,1,
87.99999999,1,0,0,1,
88.09999999,1,0,0,1,
88.19999999,1,0,0,1,
88.29999999,1,0,0,1,
88.39999999,1,0,0,1,
88.49999999,1,0,0,1,
88.59999999,1,0,0,1,
88.69999999,1,0,0,1,
88.79999999,1,0,0,1,
88.89999999,1,0,0,1,
88.99999999,1,0,0,1,
89.09999999,1,0,0,1,
89.19999999,1,0,0,1,
89.29999999,1,0,0,1,
89.39999999,1,0,0,1,
89.49999999,1,0,0,1,
89.59999999,1,0,0,1,
89.69999999,1,0,0,1,
89.79999999,1,0,0,1,
89.89999999,1,0,0,1,
89.99999999,1,0,0,1,
90.09999999,1,0,0,1,
90.19999999,1,0,0,1,
90.29999999,1,0,0,1,
90.39999999,1,0,0,1,
90.49999999,1,0,0,1,
90.59999999,1,0,0,1,
90.69999999,1,0,0,1,
90.79999999,1,0,0,1,
90.89999999,1,0,0,1,
90.99999999,1,0,0,1,
91.09999999,1,0,0,1,
91.19999999,1,0,0,1,
91.29999999,1,0,0,1,
91.39999999,1,0,0,1,
91.49999999,1,0,0,1,
91.59999999,1,0,0,1,
91.69999999,1,0,0,1,
91.79999999,1,0,0,1,
91.89999999,1,0,0,1,
91.99999999,1,0,0,1,
92.09999999,1,0,0,1,
92.19999999,1,0,0,1,
92.29999999,1,0,0,1,
92.39999999,1,0,0,1,
92.49999999,1,0,0,1,
92.59999999,1,0,0,1,
92.69999999,1,0,0,1,
92.79999999,1,0,0,1,
92.89999999,1,0,0,1,
92.99999999,1,0,0,1,
93.09999999,1,0,0,1,
93.19999999,1,0,0,1,
93.29999999,1,0,0,1,
93.39999999,1,0,0,1,
93.49999999,1,0,0,1,
93.59999999,1,0,0,1,
93.69999999,1,0,0,1,
93.79999999,1,0,0,1,
93.89999999,1,0,0,1,
93.99999999,1,0,0,1,
94.09999999,1,0,0,1,
